statut_commercialisation,specialite,dosage,forme,presentation,class_therapeutique,PPV
Retiré du Marché,LAMICTAL,200   MG,COMPRIME DISPERSIBLE,BOITE DE 56,-,SANS PPV
Retiré du Marché,LAMICTAL,200   MG,COMPRIME DISPERSIBLE,BOITE DE 90,-,SANS PPV
Retiré du Marché,LAMICTAL,200   MG,COMPRIME DISPERSIBLE,BOITE DE 98,-,SANS PPV
Retiré du Marché,LAMICTAL,25   MG,COMPRIME DISPERSIBLE,BOITE DE 10,-,SANS PPV
Retiré du Marché,LAMICTAL,25   MG,COMPRIME DISPERSIBLE,BOITE DE 14,-,SANS PPV
Retiré du Marché,LAMICTAL,25   MG,COMPRIME DISPERSIBLE,BOITE DE 25,-,SANS PPV
Retiré du Marché,LAMICTAL,25   MG,COMPRIME DISPERSIBLE,BOITE DE 28,-,SANS PPV
Retiré du Marché,LAMICTAL,25   MG,COMPRIME DISPERSIBLE,BOITE DE 42,-,SANS PPV
Retiré du Marché,LAMICTAL,25   MG,COMPRIME DISPERSIBLE,BOITE DE 60,-,SANS PPV
Retiré du Marché,LAMICTAL,5   MG,COMPRIME DISPERSIBLE,BOITE DE 10,-,SANS PPV
Retiré du Marché,LAMICTAL,5   MG,COMPRIME DISPERSIBLE,BOITE DE 14,-,SANS PPV
Retiré du Marché,LAMICTAL,5   MG,COMPRIME DISPERSIBLE,BOITE DE 42,-,SANS PPV
Retiré du Marché,LAMICTAL,5   MG,COMPRIME DISPERSIBLE,BOITE DE 50,-,SANS PPV
Retiré du Marché,LAMICTAL,5   MG,COMPRIME DISPERSIBLE,BOITE DE 56,-,SANS PPV
Non Commercialisé / Sans Prix,LAMICTAL,50   MG,COMPRIME,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Retiré du Marché,LAMICTAL,50   MG,COMPRIME DISPERSIBLE,BOITE 10,-,SANS PPV
Retiré du Marché,LAMICTAL,50   MG,COMPRIME DISPERSIBLE,BOITE DE 14,-,SANS PPV
Retiré du Marché,LAMICTAL,50   MG,COMPRIME DISPERSIBLE,BOITE DE 196,-,SANS PPV
Retiré du Marché,LAMICTAL,50   MG,COMPRIME DISPERSIBLE,BOITE DE 200,-,SANS PPV
Retiré du Marché,LAMICTAL,50   MG,COMPRIME DISPERSIBLE,BOITE DE 42,-,SANS PPV
Retiré du Marché,LAMICTAL,50   MG,COMPRIME DISPERSIBLE,BOITE DE 50,-,SANS PPV
Retiré du Marché,LAMICTAL,50   MG,COMPRIME DISPERSIBLE,BOITE DE 60,-,SANS PPV
Retiré du Marché,LAMICTAL,50   MG,COMPRIME DISPERSIBLE,BOITE DE 98,-,SANS PPV
Commercialisé AO / Sans Prix,LAMIVUDINE MYLAN,150   MG,COMPRIME PELLICULE,BOITE DE 60,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Commercialisé,LAROSCORBINE IMMUNITE,"1000  MG DE VITAMINE C, 10µG DE VITAMINE D& 10  MG DE ZINC",COMPRIMES EFFERVESCENTS,BOITE DE 20 (2 TUBES DE 10 COMPRIMES EFFERVESCENTS),METABOLISME-DIABETE-NUTRITION,"40,4"
Non Commercialisé / Sans Prix,LEMTRADA,0,SOLUTION A DILUER POUR PERFUSION,BOITE DE 1 FLACON,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Non Commercialisé / Sans Prix,LETROZOLE ZENITH,"2,5   MG",COMPRIME PELLICULE,BOITE DE 10,CANCEROLOGIE-HEMATOLOGIE,SANS PPV
Commercialisé,LEVO,"1,5   MG",COMPRIME,BOITE UNITAIRE,-,"60,7"
Non Commercialisé / Sans Prix,LEVOFLOXACINE MYLAN,5   MG  /   ML,SOLUTION POUR PERFUSION,BOITE DE 10 SERINGUES,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Commercialisé AO / Sans Prix,LEVOZINE PHARMA5,100   MG,COMPRIME PELLICULE,BOITE DE 100,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Commercialisé AO / Sans Prix,LEVOZINE PHARMA5,25   MG,COMPRIME PELLICULE,BOITE DE 100,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Non Commercialisé / Sans Prix,LOCERYL,"0,05",SOLUTION FILMOGENE,FLACON DE 5 ML,DERMATOLOGIE-VENEROLOGIE,SANS PPV
Commercialisé AO / Sans Prix,LORAZEPAM PHARMA,1   MG,COMPRIME,BOITE DE 50,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Commercialisé AO / Sans Prix,LOSARTAN PHARMA 5,100   MG,COMPRIME PELLICULE,Boite de 56,CARDIOLOGIE-ANGEIOLOGIE,SANS PPV
Commercialisé AO / Sans Prix,LOSARTAN PHARMA 5,100   MG,COMPRIME PELLICULE,Boite de 84,CARDIOLOGIE-ANGEIOLOGIE,SANS PPV
Commercialisé AO / Sans Prix,LOSARTAN PHARMA 5,50   MG,COMPRIME PELLICULE,Boite de 56,CARDIOLOGIE-ANGEIOLOGIE,SANS PPV
Commercialisé AO / Sans Prix,LOSARTAN PHARMA 5,50   MG,COMPRIME PELLICULE,Boite de 84,CARDIOLOGIE-ANGEIOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,LOTEVAN,10   MG  /  160   MG,COMPRIME PELLICULE,BOITE DE 10,CARDIOLOGIE-ANGEIOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,LOTEVAN,10   MG  /  320   MG,COMPRIME PELLICULE,BOITE DE 6,CARDIOLOGIE-ANGEIOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,LOTEVAN,5   MG  /  160   MG,COMPRIME PELLICULE,BOITE DE 10,CARDIOLOGIE-ANGEIOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,LOTEVAN,5   MG  /  320   MG,COMPRIME PELLICULE,BOITE DE 6,CARDIOLOGIE-ANGEIOLOGIE,SANS PPV
Retiré du Marché,LUCENTIS,10   MG  /   ML,SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE,BOITE DE 1,OPHTALMOLOGIE,SANS PPV
Non Commercialisé,LYNPARZA,100   MG,COMPRIME PELLICULE,BOITE DE 56 COMPRIMES PELLICULES.,-,26483
Commercialisé,LYNPARZA,150    MG,COMPRIME PELLICULE,BOITE DE 56 COMPRIMES PELLICULES.,-,26483
Non Commercialisé / Sans Prix,LYRICA,150   MG,GELULE,BOITE DE 14,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Non Commercialisé / Sans Prix,LYSOTHRICINE,0,COMPRIME,BOITE DE 20,-,SANS PPV
Retiré du Marché,MAALOX BALLONEMENT,0,COMPRIME A CROQUER,BOITE DE 40,-,SANS PPV
Commercialisé AO / Sans Prix,MEGASFON,160   MG,COMPRIME ORODISPERSIBLE,BOITE DE 100,GASTRO-ENTERO-HEPATOLOGIE,SANS PPV
Commercialisé Export / Sans Prix,MEGASFON,80   MG  /  80   MG,COMPRIME PELLICULE,Boîte de 30,GASTRO-ENTERO-HEPATOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,MEMANTINE GT,10   MG,COMPRIME PELLICULE,BOITE DE 56,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Commercialisé AO / Sans Prix,MENVEO,0,POUDRE ET SOLUTION POUR SOLUTION POUR INJECTION,BOITE DE 1 DOSE,-,SANS PPV
Non Commercialisé / Sans Prix,MEPACYL,"0,10 G",SOLUTION POUR USAGE DENTAIRE,FLACON DE 14 ML,ENDOCRINOLOGIE ET HORMONES,SANS PPV
Non Commercialisé / Sans Prix,MEPHINE,10   MG  /   ML,SOLUTION INJECTABLE EN AMPOULE,BOITE DE 10,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,METFORMINE RIM,1000   MG,COMPRIME PELLICULE,BOITE DE 30,METABOLISME-DIABETE-NUTRITION,SANS PPV
Non Commercialisé / Sans Prix,METFORMINE RIM,500   MG,COMPRIME PELICULLE SECABLE,BOITE DE 14,METABOLISME-DIABETE-NUTRITION,SANS PPV
Non Commercialisé / Sans Prix,METFORMINE RIM,850   MG,COMPRIME PELICULLE SECABLE,BOITE DE 28,METABOLISME-DIABETE-NUTRITION,SANS PPV
Non Commercialisé / Sans Prix,METHYLPREDNISOLONE MYLAN,1 G,POUDRE POUR SOLUTION INJECTABLE (IM / IV),BOITE DE 1,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,MONO-EMBOLEX,3000 UI,SOLUTION POUR INJECTION SOUS CUTANEE,"BOITE DE 10 SERINGUES PRE-REMPLIES DE 0,3 ML",HEMATOLOGIE ET HEMOSTASE,SANS PPV
Non Commercialisé / Sans Prix,MONO-EMBOLEX,8000 UI,SOLUTION POUR INJECTION SOUS CUTANEE,"BOITE DE 10 SERINGUES DE 0,8 ML",HEMATOLOGIE ET HEMOSTASE,SANS PPV
Non Commercialisé / Sans Prix,MRBEV,0.5  ML,POUDRE LYOPHILISEE POUR INJECTION SOUS CUTANEE APRES RECONSTITUTION EN FLACON DE 2.5 ML (5 DOSES),BOITE DE 50 AMPOULES DE 2.5 ML DE DILUANT « CHLORURE DE SODIUM »,-,SANS PPV
Non Commercialisé / Sans Prix,MRBEV,0.5  ML,POUDRE LYOPHILISEE POUR INJECTION SOUS CUTANEE APRES RECONSTITUTION EN FLACON DE 2.5 ML (5 DOSES),BOITE DE 50 FLACONS DE 2.5 ML (5 DOSES),-,SANS PPV
Non Commercialisé / Sans Prix,MRBEV,0.5  ML,POUDRE LYOPHILISEE POUR INJECTION SOUS CUTANEE APRES RECONSTITUTION EN FLACON DE 5 ML (10 DOSES),BOITE DE 50 AMPOULES DE 5 ML DE DILUANT « CHLORURE DE SODIUM »,-,SANS PPV
Non Commercialisé / Sans Prix,MRBEV,0.5  ML,POUDRE LYOPHILISEE POUR INJECTION SOUS CUTANEE APRES RECONSTITUTION EN FLACON DE 5 ML (10 DOSES),BOITE DE 50 FLACONS DE 5 ML (10 DOSES),-,SANS PPV
Non Commercialisé / Sans Prix,MUCILAX,"3,5 G",SACHET,BOITE DE 20,-,SANS PPV
Non Commercialisé / Sans Prix,MUCILAX,0,POUDRE,BOITE DE 100,-,SANS PPV
Non Commercialisé / Sans Prix,MULTAQ,400   MG,COMPRIME PELLICULE,BOITE DE 60,-,SANS PPV
Non Commercialisé / Sans Prix,MYCOMNES,0,POMMADE,TUBE DE 30 G,-,SANS PPV
Non Commercialisé / Sans Prix,NALIXINE,500   MG,COMPRIME,BOITE DE 40,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Commercialisé / Sans Prix,NANOCIS,"0,24   MG",TROUSSE POUR PREPARATION RADIOPHARMACEUTIQUE EN FLACON,BOITE DE 1,-,SANS PPV
Commercialisé AO / Sans Prix,NAPROXÈNE PHARMA,550   MG,CAPSULE RECTALE,Boîte de 10,RHUMATOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,NATZON,2   MG,COMPRIME SUBLINGUAL,BOITE DE 14,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,NATZON,2   MG,COMPRIME SUBLINGUAL,BOITE DE 28,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,NATZON,8   MG,COMPRIME SUBLINGUAL,BOITE DE 14,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,NATZON,8   MG,COMPRIME SUBLINGUAL,BOITE DE 28,ANESTHESIE-REANIMATION,SANS PPV
Commercialisé,NEPEXTO,"25   MG  /  0,5  ML",SOLUTION INJECTABLE EN SERINGUE PREREMPLIE,BOÎTE DE 4 SERINGUES PREREMPLIS.,RHUMATOLOGIE,2857
Commercialisé,NEPEXTO,50   MG  /   ML,SOLUTION INJECTABLE EN STYLO PREREMPLI DE 1ML,BOÎTE DE 4 STYLOS PREREMPLIS.,RHUMATOLOGIE,4992
Non Commercialisé,NEPEXTO,50   MG  /   ML,SOLUTION INJECTABLE EN SERINGUE PREREMPLIE DE 1ML,BOÎTE DE 4 SERINGUES PREREMPLIS.,RHUMATOLOGIE,4992
Non Commercialisé / Sans Prix,NEPZAN,10   MG,COMPRIME PELLICULE,BOITE DE 7,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Non Commercialisé / Sans Prix,NEPZAN,5   MG,COMPRIME PELLICULE,BOITE DE 7,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Commercialisé AO,NERLYNX,40   MG,COMPRIMES PELLICULES,BOITE D’UN FLACON DE 180 COMPRIMES PELLICULES.,-,41046
Non Commercialisé / Sans Prix,NEUPO,2   MG  /  24 HEURES,DISPOSITIF TRANSDERMIQUE,BOITE DE 28,-,SANS PPV
Non Commercialisé / Sans Prix,NEUPO,2   MG  /  24 HEURES,DISPOSITIF TRANSDERMIQUE,BOITE DE 7,-,SANS PPV
Non Commercialisé / Sans Prix,NEUPO,4   MG  /  24 HEURES,DISPOSITIF TRANSDERMIQUE,BOITE DE 28,-,SANS PPV
Non Commercialisé / Sans Prix,NEUPO,4   MG  /  24 HEURES,DISPOSITIF TRANSDERMIQUE,BOITE DE 7,-,SANS PPV
Non Commercialisé / Sans Prix,NEUPO,6   MG  /  24 HEURES,DISPOSITIF TRANSDERMIQUE,BOITE DE 28,-,SANS PPV
Non Commercialisé / Sans Prix,NEUPO,6   MG  /  24 HEURES,DISPOSITIF TRANSDERMIQUE,BOITE DE 7,-,SANS PPV
Non Commercialisé / Sans Prix,NEUPO,8   MG  /  24 HEURES,DISPOSITIF TRANSDERMIQUE,BOITE 7,-,SANS PPV
Non Commercialisé / Sans Prix,NEUPO,8   MG  /  24 HEURES,DISPOSITIF TRANSDERMIQUE,BOITE DE 28,-,SANS PPV
Commercialisé AO / Sans Prix,NIMENRIX,0,0,BOITE DE 100 AMPOULES,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Commercialisé AO / Sans Prix,NIMENRIX,0,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Commercialisé AO / Sans Prix,NIMENRIX,0,SOLUTION INJECTABLE,BOITE DE 10 SERINGUES PRE-REMPLIES,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,NIMENRIX,0,VACCIN LYOPHILISE,BOITE DE 1 FLACON ET 1 AMPOULE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,NIMENRIX,0,VACCIN LYOPHILISE,BOITE DE 1 FLACON ET UNE SERINGUE PRE-REMPLIE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,NIMENRIX,0,VACCIN LYOPHILISE,BOITE DE 10 FLACONS ET 10 AMPOULES,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,NIMENRIX,0,VACCIN LYOPHILISE,BOITE DE 100 FLACONS ET 100 AMPOULES,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,NOCDURNA,25 µg,LYOPHYLISAT ORAL,BOITE DE 30,ENDOCRINOLOGIE ET HORMONES,SANS PPV
Non Commercialisé / Sans Prix,NOCDURNA,50 µg,LYOPHYLISAT ORAL,BOITE DE 30,ENDOCRINOLOGIE ET HORMONES,SANS PPV
Retiré du Marché,NO-DOL FEN,600   MG,COMPRIME PELLICULE,0,-,SANS PPV
Non Commercialisé / Sans Prix,NOOTROPYL,"1,2 G  /  6  ML",SOLUTION BUVABLE,BOITE DE 30 AMPOULES,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Non Commercialisé / Sans Prix,NORDITROPINE NORDIFLEX,25   MG  / 1.5  ML,SOLUTION INJEVTABLE EN STYLO PRE REMPLI,BOITE UNITAIRE,ENDOCRINOLOGIE ET HORMONES,SANS PPV
Commercialisé AO / Sans Prix,NORTEUS,10   MG,COMPRIME,BOITE DE 56,CARDIOLOGIE-ANGEIOLOGIE,SANS PPV
Commercialisé AO / Sans Prix,NORTEUS,5   MG,COMPRIME,BOITE DE 56,CARDIOLOGIE-ANGEIOLOGIE,SANS PPV
Commercialisé AO / Sans Prix,NORVIR,100   MG,COMPRIME PELLICULE,BOITE DE 60,-,SANS PPV
Non Commercialisé / Sans Prix,NOVOMIX 50 FLEXPEN,100 UI  /   ML,SUSPENSION INJECTABLE,BOITE DE 1 STYLO DE 3 ML,METABOLISME-DIABETE-NUTRITION,SANS PPV
Non Commercialisé / Sans Prix,NOVOMIX 50 FLEXPEN,100 UI  /   ML,SUSPENSION INJECTABLE,BOITE DE 5 STYLOS DE 3 ML,METABOLISME-DIABETE-NUTRITION,SANS PPV
Non Commercialisé / Sans Prix,NOVOMIX 50 PENFILL,100 UI  /   ML,SUSPENSION INJECTABLE,BOITE DE 5 CARTOUCHES DE 3 ML,METABOLISME-DIABETE-NUTRITION,SANS PPV
Non Commercialisé / Sans Prix,NOVOMIX 70 FLEXPEN,100 UI  /   ML,SUSPENSION INJECTABLE,BOITE DE 1 STYLO DE 3 ML,METABOLISME-DIABETE-NUTRITION,SANS PPV
Non Commercialisé / Sans Prix,NOVOMIX 70 FLEXPEN,100 UI  /   ML,SUSPENSION INJECTABLE,BOITE DE 5 STYLOS DE 3 ML,METABOLISME-DIABETE-NUTRITION,SANS PPV
Non Commercialisé / Sans Prix,NOVOMIX 70 PENFILL,100 UI  /   ML,SUSPENSION INJECTABLE,BOITE DE 5 CARTOUCHES DE 3 ML,METABOLISME-DIABETE-NUTRITION,SANS PPV
Retiré du Marché,NOVOTER GENTAMICINE,"0,05%  /  0,10%",CREME POUR APPLICATION DERMIQUE,TUBE POUR 30 G,-,SANS PPV
Retiré du Marché,NOVOTER GENTAMICINE,"0,05%  /  0,10%",CREME POUR APPLICATION DERMIQUE,TUBE POUR 60 G,-,SANS PPV
Commercialisé,NUBEQA,300   MG,COMPRIMÉ PELLICULÉ,BOITE DE 112 COMPRIMÉ,ENDOCRINOLOGIE ET HORMONES,26810
Commercialisé AO / Sans Prix,NYTIR,10   MG,COMPRIME,BOITE DE 60,-,SANS PPV
Commercialisé AO / Sans Prix,NYTIR,2   MG,COMPRIME,BOITE DE 60,-,SANS PPV
Commercialisé AO / Sans Prix,NYTIR,5   MG,COMPRIME,BOITE DE 60,-,SANS PPV
Commercialisé AO / Sans Prix,OCEDOX,100   MG,COMPRIME PELLICULE,BOITE DE 100,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé,OEDES,40   MG,POUDRE POUR SOLUTION POUR PERFUSION,BOITE DE 1 FLACON DE POUDRE.,-,"82,1"
Non Commercialisé / Sans Prix,OEDES,40   MG,MICROGRANULES GASTRO-RESISTANTS EN GELULE,BOITE DE 56,GASTRO-ENTERO-HEPATOLOGIE,SANS PPV
Commercialisé / Sans Prix,OSTEOCIS,3   MG,TROUSSE POUR PREPARATION RADIOPHARMACEUTIQUE INJECTABLE EN FLACON,BOITE DE 1,-,SANS PPV
Non Commercialisé / Sans Prix,OXAPEN,500   MG,GELULE,BOITE DE 12,-,SANS PPV
Non Commercialisé / Sans Prix,OXYCONTIN,10   MG,COMPRIME A LIBERATION CONTROLEE,BOITE DE 20,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,OXYCONTIN,15   MG,COMPRIME A LIBERATION CONTROLEE,BOITE DE 20,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,OXYCONTIN,20   MG,COMPRIME A LIBERATION CONTROLEE,BOITE DE 20,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,OXYCONTIN,30   MG,COMPRIME A LIBERATION CONTROLEE,BOITE DE 20,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,OXYCONTIN,40   MG,COMPRIME A LIBERATION CONTROLEE,BOITE DE 20,ANESTHESIE-REANIMATION,SANS PPV
Commercialisé / Sans Prix,OXYFLOW,250 µG  /  25 µG  /  DOSE,SUSPENSION POUR INHALATION,BOITE DE 1 FLACON DE 120 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,OXYNORM,10   MG,GELULE,BOITE DE 56,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,OXYNORM,20   MG,GELULE,BOITE DE 56,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,OXYNORM,5   MG,GELULE,BOITE DE 56,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,OXYNORM CONCENTRE,10   MG  /   ML,SOLUTION BUVABLE EN FLACON DE 120 ML,BOITE DE 1,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,OXYNORM LIQUIDE,1   MG  /   ML,SOLUTION BUVABLE EN FLACON DE 250 ML,BOITE DE 1,ANESTHESIE-REANIMATION,SANS PPV
Commercialisé AO / Sans Prix,OXYTOCINE PHARMA5,5 UI  /   ML,SOLUTION INJECTABLE,BOITE DE 10,GYNECOLOGIE-OBSTETRIQUE,SANS PPV
Retiré du Marché,PAGENAX®,120   MG  /   ML,SOLUTION INJECTABLE EN FLACON DE 0.23 ML,"BOITE DE 1 FLACON DE 0.23 ML ET 1 AIGUILLE-FILTRE EMOUSSEE (18G X 1½"", 1.2 MM X 40 MM, 5 µM)""",-,SANS PPV
Non Commercialisé / Sans Prix,PARACETAMOL SOTHEMA,10   MG  /   ML,SOLUTION POUR PERFUSION EN FLACON DE 100 ML,BOITE DE 1,ANESTHESIE-REANIMATION,SANS PPV
Non Commercialisé / Sans Prix,PAROXETINE DEVA,20   MG,COMPEIME PELLICULE SECABLE,BOITE DE 10,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Non Commercialisé / Sans Prix,PAROXETINE DEVA,20   MG,COMPEIME PELLICULE SECABLE,BOITE DE 20,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Non Commercialisé / Sans Prix,PAROXETINE DEVA,20   MG,COMPEIME PELLICULE SECABLE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Non Commercialisé,SIGLIMET,50  MG / 1000  MG,COMPRIMES PELLICULES,BOITE DE 60,METABOLISME-DIABETE-NUTRITION,235
Commercialisé / Sans Prix,PENTACIS,"9,1   MG",POUDRE POUR SOLUTION INJECTABLE,BOITE DE 5 FLACONS,-,SANS PPV
Non Commercialisé,PENTASA,1 G,SUPPOSITOIRES,BOITE DE 28 SUPPOSITOIRES,-,493
Non Commercialisé / Sans Prix,PERVITAL,0,COMPRIME,BOITE DE 30,METABOLISME-DIABETE-NUTRITION,SANS PPV
Commercialisé AO / Sans Prix,PIROXAM,20   MG,GELULE,BOITE DE 15,ANESTHESIE-REANIMATION,SANS PPV
Commercialisé AO / Sans Prix,PIROXAM,20   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,SANS PPV
Commercialisé / Sans Prix,PLUMOCIS,2   MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 5 FLACONS,-,SANS PPV
Non Commercialisé / Sans Prix,POLIO SABIN,0,VACCIN SUSPENSION POUR ADMINISTRATION ORALE,FLACONS DE 10 DOSES,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Commercialisé,POLIVY,140   MG,COMPRIMÉ À LIBÉRATION PROLOGEÉ,BOITE DE 1 FLAÇON,-,92200
Commercialisé / Sans Prix,POLTECHNET,"8,0 - 175 GBQ",GENERATEUR DE RADIONUCLEIDES EN SOLUTION INJECTABLE,16 FLACONS DE 10 ML D'ELUANT ET 16 FLACONS SOUS VIDE (FLACONS POUR L'ELUAT),-,SANS PPV
Non Commercialisé / Sans Prix,POLYBAC,40   MG,SOLUTION INJECTABLE,AMPOULE DE 2 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,POLYBAC,40   MG,SOLUTION INJECTABLE,BOITE DE 6 AMPOULES DE 2 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,POLYBAC,80   MG,SOLUTION INJECTABLE,AMPOULE DE 2 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,POLYBAC,80   MG,SOLUTION INJECTABLE,BOITE DE 6 AMPOULES DE 2 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,PRAMER,20   MG  /   ML,SOLUTION INJECTABLE EN SERINGUE PREREMPLIE DE 1 ML,BOITE DE 30 SERINGUES PREREMPLIES,-,SANS PPV
Commercialisé AO / Sans Prix,PRECEDEX,100 µG  /   ML,SOUTION POUR PERFUSION EN FLACON DE 2 ML,BOITE DE 25 FLACONS,ANESTHESIE-REANIMATION,SANS PPV
Commercialisé AO / Export,PREDSONE GALENICA,20   MG,COMPRIME,BOITE DE 20,ANESTHESIE-REANIMATION,SANS PPV
Commercialisé AO / Sans Prix,PREMOCEFAL,500   MG,GELULE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,PRIORIX,0,POUDRE LYOPHYLISEE ET SOLVANT POUR SOLUTION INJECTABLE,BOITE DE 100 FLACONS DE 2 DOSES ET 100 AMPOULES DE SOLVANT DE 1 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Commercialisé AO / Sans Prix,PRIVIGEN,10 G  /  100  ML,SOLUTION POUR PERFUSION,Flacon de 100 ml,-,SANS PPV
Commercialisé AO / Sans Prix,PRIVIGEN,"2,5 G  /  25  ML",SOLUTION POUR PERFUSION,Flacon de 25 ml,-,SANS PPV
Commercialisé AO / Sans Prix,PRIVIGEN,5 G /  50  ML,SOLUTION POUR PERFUSION,Flacon de 50 ml,-,SANS PPV
Non Commercialisé / Sans Prix,PROLAX ER,15   MG,GELULE A LIBERATION PROLONGEE,BOITE DE 10,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Non Commercialisé / Sans Prix,PROLAX ER,30   MG,GELULE A LIBERATION PROLONGEE,BOITE DE 10,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Non Commercialisé / Sans Prix,PROZAC,20   MG,GELULE,BOITE DE 28,NEUROLOGIE-PSYCHIATRIE,SANS PPV
Non Commercialisé / Sans Prix,PULMICORT,1   MG,SUSPENSION POUR INHALATION PAR NEBULISEUR,BOITE DE 20,PNEUMO-ALLERGO-PHTYSIOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,PULPARTHROL,"16,45 G  /  9,5 G",SOLUTION POUR USAGE DENTAIRE,FLACON DE 14 ML,-,SANS PPV
Retiré du Marché,PYLORID,400   MG,COMPRIME PELLICULE,BOITE DE 14,-,SANS PPV
Retiré du Marché,PYLORID,400   MG,COMPRIME PELLICULE,BOITE DE 28,-,SANS PPV
Commercialisé / Sans Prix,QUADRAMET,1   MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 5 FLACONS,-,SANS PPV
Non Commercialisé / Sans Prix,QUINAL,100   MG,COMPRIME,BOITE DE 100,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,QUINAL,100   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,SANS PPV
Non Commercialisé / Sans Prix,QUINIMAX,125   MG  /  1  ML,SOLUTION INJECTABLE,0,-,SANS PPV
